TEAM,Record,YEAR,CONF,Rank,SEED,Games,Wins,Losses,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,POSTSEASON
Arizona St.,22–10,2019,P12,63,11,32,22,10,108.9,97.9,0.7728,50.8,48.6,18.5,18.9,32.5,26.4,43.6,38.6,50.6,47.2,34.1,33.6,71.8,0.2,R64
Vermont,26–6,2019,AE,74,13,32,26,6,107.2,98.1,0.7347,52.4,49,16.6,19.4,27.5,21.8,36.3,26.2,52,46.5,35.3,35.3,66.6,-0.8,R64
Northern Kentucky,24–8,2019,Horz,101,14,32,24,8,108.4,101.6,0.6775,55,48.9,17.6,18.5,30.7,26.5,35.5,35.2,55.3,49.5,36.4,31.9,69.4,-2,R64
Georgia St.,23–9,2019,SB,108,14,32,23,9,107.6,101.3,0.6668,54.4,50.1,16.6,21.1,23.3,33.6,35.7,31.3,51.8,50.5,38.4,33,71.2,-1.1,R64
Montana,24–8,2019,BSky,134,15,32,24,8,106.7,103.2,0.596,56.7,50,17.4,19.3,27.7,25,32,37,56.2,49,38.3,34.6,67.8,-3,R64
Iona,17–15,2019,MAAC,220,16,32,17,15,105.2,110.1,0.3724,53,52.3,17.3,18.6,25.7,30.1,37.1,28.8,53.3,50.2,35.1,36.8,72,-10.2,R64
Clemson,23–9,2008,ACC,13,5,32,23,9,113.6,90.5,0.9314,52,47.8,20.4,24.6,40.2,36.7,30.4,33.1,49.6,49.1,38,29.8,69.6,4.4,R64
Indiana,25–7,2008,B10,21,8,32,25,7,113.6,93.1,0.9079,52.4,46.9,20.2,19.9,36.1,28.9,42.7,30,52.6,44.8,34.6,33.8,68.6,4.8,R64
Arizona,18–14,2008,P10,22,10,32,18,14,115.1,94.7,0.9046,53.9,48.3,18.6,19.1,28,33.6,40.2,30.8,51.3,47.5,39.6,33.7,65.3,1.5,R64
Connecticut,24–8,2008,BE,25,4,32,24,8,114.4,94.4,0.9009,50.8,44,19.4,17.4,39.3,34.3,48.6,23.8,49.7,40.1,35.9,34.8,69.3,4.3,R64
USC,21–11,2008,P10,26,6,32,21,11,108.2,89.4,0.8994,53.5,44.5,22,20,31.2,34.4,38.2,27.4,51.9,43.9,38.4,30.4,67.6,3.6,R64
Gonzaga,25–7,2008,WCC,27,7,32,25,7,112.1,92.6,0.8992,54.3,45.3,20.5,21.7,34.5,29.6,40.2,31.9,53.6,43.6,37.2,32.1,68.3,2.1,R64
Georgia,16–16,2008,SEC,89,14,32,16,16,102.6,94.4,0.7222,47.7,48.1,21.8,19.2,37.5,31.9,32.8,32.7,46.9,49.1,32.9,30.8,66.7,-3.9,R64
Boise St.,24–8,2008,WAC,128,14,32,24,8,106.2,102.6,0.5991,57.3,49.9,21,19.4,30.2,29.5,40.3,33.6,56.1,48.9,39.6,34.7,73,-2.4,R64
Belmont,24–8,2008,ASun,158,15,32,24,8,105.5,105,0.516,53.3,52,20.4,22.4,33.8,30.4,34,35.6,52.2,51.9,36.3,34.8,71.4,-3.5,R64
American,21–11,2008,Pat,159,15,32,21,11,105,104.5,0.5146,52.5,47.5,22.1,19.7,32.3,30.2,42.1,38,46.5,44.6,40.9,35.1,62.7,-5.8,R64
Mount St. Mary's,18–14,2008,NEC,174,16,32,18,14,97.3,99.1,0.4474,50.2,46.4,20.9,22,30,33,38.7,38.6,48.1,45.7,36.7,32.1,67.5,-9.5,R64
Utah,24–8,2009,MWC,28,5,32,24,8,109.9,91.8,0.8882,54.9,44.7,20.7,15.8,27,25.3,39.9,35.9,53.9,41.9,37.6,35,65.8,2.7,R64
California,22–10,2009,P10,30,7,32,22,10,115.7,96.8,0.8867,54.1,48.9,17.9,18.6,32.2,30.4,34.3,32.8,50.3,47.5,43.4,34.9,67.4,3.2,R64
Ohio St.,22–10,2009,B10,33,8,32,22,10,111.8,94.9,0.8684,55.1,48.1,20.9,21,28.4,33.6,38.3,24,54.1,44.9,37.9,35.2,64.1,3.2,R64
Northern Iowa,22–10,2009,MVC,85,12,32,22,10,108.4,99.6,0.7258,51.9,48.8,18.4,17,28.3,26.6,42.6,31.5,51.9,46.2,34.5,35.3,62.3,-1.7,R64
East Tennessee St.,22–10,2009,ASun,121,16,32,22,10,103.7,99.9,0.6052,51.3,47.9,19.1,22.7,32,31.8,39.8,32.1,51.4,46.9,34.2,32.9,71.3,-5.9,R64
Morehead St.,17–15,2009,OVC,191,16,32,17,15,99.7,102.1,0.4319,48.2,48.4,22,17.7,39.3,29.7,43.1,40.1,47.9,45.5,32.7,35.7,66.6,-9.3,R64
Chattanooga,16–16,2009,SC,208,16,32,16,16,102.2,106,0.3984,51.2,52.6,21.4,19.5,33.7,31.5,47.4,30.1,50.3,50.7,34.9,36.6,71,-9.4,R64
Oklahoma St.,22–10,2010,B12,27,7,32,22,10,112.4,93,0.8974,52.3,48.2,18.4,19.3,29.5,27.6,36.7,36.7,52,44.8,35.2,36.4,67.9,1.8,R64
UTEP,26–6,2010,CUSA,31,12,32,26,6,106.9,89.3,0.8883,53,44.2,18.6,22.5,29.2,30.3,40.3,42.9,53.4,43.3,34.7,30.7,69.3,2.1,R64
UNLV,24–8,2010,MWC,38,8,32,24,8,109.2,91.6,0.8826,52.2,45.5,17.3,22.6,28.6,30.4,31.2,47.1,53.6,43.3,33.1,33.3,67.8,1,R64
Louisville,20–12,2010,BE,44,9,32,20,12,114.6,96.9,0.8733,51.5,48.2,19.9,22.3,39.7,37.2,36.4,40.9,51.9,46.6,33.9,34.3,67.4,-0.1,R64
New Mexico St.,21–11,2010,WAC,132,12,32,21,11,108.9,105.1,0.6017,53.4,51.3,17.9,18.6,29.7,34.1,38,31.2,51.7,50.1,37.4,35.7,71.9,-2.3,R64
Oakland,24–8,2010,Sum,137,14,32,24,8,105.9,102.7,0.5879,49.4,50.1,19.6,18.3,37.2,31.2,40.6,31.5,50,49.7,32,33.9,69.8,-1.1,R64
Lehigh,22–10,2010,Pat,195,16,32,22,10,102.8,105.4,0.4284,51.6,48.2,18.5,19.4,29.7,29.1,43.4,31.5,48,46.4,40,34.4,70.5,-6.8,R64
Utah St.,29–3,2011,WAC,22,12,32,29,3,109.2,90.6,0.895,52.2,43.3,18.4,18.9,34.2,25.7,43.4,34,51.5,42.4,35.8,30,63.3,3.7,R64
UNLV,24–8,2011,MWC,23,8,32,24,8,109,90.6,0.8928,51,45.4,18.7,24,33.5,31.9,39.2,39.9,51.6,43.8,33.1,32.4,68.1,2.8,R64
Villanova,21–11,2011,BE,26,9,32,21,11,114.3,95.4,0.8889,49.7,46.4,18.1,18.3,36,30.2,42.6,36.2,48.4,45.3,34.9,32.1,66.5,1.5,R64
Clemson,21–11,2011,ACC,27,12,32,21,11,108.4,90.6,0.8867,50.2,45.2,20.4,23.2,34.6,32.5,38.5,34.7,49.1,43.7,34.9,32.2,64.6,0.7,R64
St. John's,21–11,2011,BE,30,6,32,21,11,110.3,92.6,0.8812,49.4,50.5,18.7,24.1,33.1,32.9,44.8,39.9,49.4,47.4,33,36.6,66.9,3.2,R64
Missouri,22–10,2011,B12,39,11,32,22,10,111.9,95.7,0.8576,51.7,49.1,17.1,24.8,33.2,36.7,34.7,40.7,50.5,48.1,36.4,34.3,72.1,1.4,R64
Michigan St.,18–14,2011,B10,42,10,32,18,14,108.2,92.9,0.8527,48.6,47.8,20,17.8,34.6,28.5,36.7,37.3,46.9,44.7,34.8,36.3,66.4,2.3,R64
Georgia,21–11,2011,SEC,56,10,32,21,11,108.1,94.7,0.8209,49.4,44.7,20.3,18.5,36.8,31.7,36.6,35.1,48.9,43.1,34,32.2,64.9,0.2,R64
Indiana St.,19–13,2011,MVC,99,14,32,19,13,102,95.4,0.6851,48.8,45.9,21.4,19.3,31.3,30,38.4,45.1,46.4,44.2,35.5,32.9,66.1,-4.2,R64
Long Island,27–5,2011,NEC,129,15,32,27,5,106,102.7,0.5885,52.4,48.2,20.4,19.9,37.9,32.2,50.6,25,51.2,49.7,36.6,30,74.5,-1.2,R64
Michigan,23–9,2012,B10,22,4,32,23,9,113.9,94,0.9004,53.6,48.8,17.6,20.1,28.1,30.9,28.9,30,54.2,46.9,35.3,35,61.8,6.4,R64
Alabama,21–11,2012,SEC,24,9,32,21,11,105,87.8,0.8861,49,43.4,20.4,21.4,33.9,31.9,36.5,38.6,51.4,43.9,28.5,28.3,63.1,1.5,R64
UNLV,24–8,2012,MWC,26,6,32,24,8,109.2,92,0.8775,53.2,46.1,19.5,21,32.6,30.2,35.8,33.4,51.6,44.4,37.3,33.1,69.9,2.8,R64
West Virginia,19–13,2012,BE,36,10,32,19,13,111,95.2,0.8535,48.7,49.4,19.3,20.3,41.2,30.3,38.1,31.2,50.1,50.2,30.2,31.7,65.5,-0.1,R64
South Dakota St.,25–7,2012,Sum,75,14,32,25,7,111.5,100.6,0.7653,53.8,49.9,15.6,19.2,30.5,28.2,39.9,29.5,50.7,50.5,39.3,32.4,66.3,-0.6,R64
Loyola MD,24–8,2012,MAAC,134,15,32,24,8,102.1,98.9,0.5891,47.4,47.7,20.7,21.8,39,33,43,39.8,46,45.3,34,36.1,64.4,-1.5,R64
Kansas St.,26–7,2013,B12,22,4,33,26,7,112.2,93.5,0.8904,49.2,47.4,18.2,22.4,38.5,34,31.8,36.9,46.8,46.5,35.9,33.1,63.2,5.4,R64
Cincinnati,22–11,2013,BE,23,10,33,22,11,105.1,87.8,0.8879,46.2,43.1,19.5,20.1,38.8,29.9,36.2,32.1,45.3,42.2,31.7,30,65.5,1.7,R64
Missouri,23–10,2013,SEC,28,9,33,23,10,112.9,94.9,0.8809,51.3,45.9,19.3,17.5,39.5,28.3,35.1,28.8,51.4,44,34,32.9,67.6,1.2,R64
UNLV,24–9,2013,MWC,29,5,33,24,9,105.6,88.7,0.8808,49.3,44,20.3,18.6,33.5,27.2,36.5,29.7,49.4,42.6,32.7,31.3,69.3,1.8,R64
Iona,20–13,2013,MAAC,91,15,33,20,13,113.5,104.8,0.7149,52.5,51.5,16.9,19.5,32.8,33.4,32.7,32.1,50.5,49.1,37.3,37.3,71,-5.9,R64
New Mexico St.,23–10,2013,WAC,93,13,33,23,10,103,95.3,0.7116,50,45.3,21.8,18.7,36.4,29.8,47.9,30.8,50.3,43,32.6,33.8,65.2,-3.1,R64
Cincinnati,27–6,2014,Amer,26,5,33,27,6,108.6,90.9,0.885,47.9,44.6,17.4,22.5,39.1,32.3,39.1,35.3,46.9,43,33.5,31.9,63.5,5.3,R64
New Mexico,27–6,2014,MWC,30,7,33,27,6,113.7,97,0.8612,51.4,44.9,15.9,14.9,32.8,28.6,47,31.2,51.8,41.4,33.7,34.4,66.3,4.4,R64
Oklahoma St.,21–12,2014,B12,18,9,33,21,12,116.4,94.3,0.9185,52.8,46,14.7,20,27.7,32.2,49.4,40,51.5,44.8,36.8,32.2,69,1.4,R64
BYU,22–11,2014,WCC,52,10,33,22,11,114.2,100.2,0.8167,51,49,15.3,16.7,35,28.6,47.6,36,49.5,47.8,37.3,34.1,73.1,0.6,R64
Saint Joseph's,24–9,2014,A10,41,10,33,24,9,112.8,97.6,0.841,53.9,47.6,18.7,15.4,29.5,27.6,43.4,30.6,52,46.1,38,33.7,65.9,2.1,R64
Tulsa,21–12,2014,CUSA,80,13,33,21,12,106,97.2,0.731,49.3,46.3,16.5,20.4,30.1,29.4,47.8,48.3,49.6,42.9,32.5,35.3,68.5,-3.6,R64
Milwaukee,20–13,2014,Horz,169,15,33,20,13,104.4,104.4,0.5011,49.6,49.2,20,18.5,28.6,31.1,45.5,36.9,49.8,50,33,31.6,67.8,-6.1,R64
Iowa St.,25–8,2015,B12,20,3,33,25,8,117.4,95.8,0.9125,54.7,47.9,15.8,18.5,28.5,29.2,37.4,24.3,54.7,45.4,36.6,35.2,69.8,7.1,R64
Texas,20–13,2015,B12,21,11,33,20,13,110.4,90.1,0.9114,49.4,42.2,20,14.2,38,29,36.9,34.2,48.6,37.8,33.9,34.8,62.8,0.9,R64
Providence,22–11,2015,BE,26,6,33,22,11,112,93.5,0.8881,48.6,48.1,17.9,19.7,35.3,29.5,41.6,38.5,49.4,47,31,33.3,65.7,3.7,R64
Purdue,21–12,2015,B10,34,9,33,21,12,110.3,94.1,0.8614,50.7,45.5,20,17.8,36.2,31.1,42.5,38.5,51,42.3,33.5,35,65,1,R64
Indiana,20–13,2015,B10,42,10,33,20,13,119.1,102.9,0.8422,54.6,50.5,17.1,16.1,35.3,31.3,32.7,32.1,50.7,51,40.3,32.8,67,-0.3,R64
Robert Morris,19–14,2015,NEC,198,16,33,19,14,99.5,102.7,0.4112,50.5,48.4,20.5,21.7,31.2,35.8,36,37.6,47.6,47.5,38,33.4,66,-8.6,R64
Hampton,16–17,2015,MEAC,281,16,33,16,17,93.7,103,0.2524,45.8,46.5,20.5,20.1,32.8,30.9,43.4,45.9,45.9,44.3,30.4,34.4,69.3,-12.6,R64
Arizona,25–8,2016,P12,20,6,33,25,8,116.4,95.5,0.9068,53.8,46.3,17.9,16.2,35.1,24.9,44.1,29.2,52.3,45.5,38.3,32.1,69.1,3.4,R64
California,23–10,2016,P12,23,4,33,23,10,112.5,92.8,0.9014,52.5,44,17.5,14.1,32.4,25.7,41.6,37.2,51,40.9,36.9,35.1,68.8,2.2,R64
Seton Hall,25–8,2016,BE,26,6,33,25,8,111.2,92.3,0.8956,50.2,45.3,19.5,19.2,35,30.7,40.6,33.7,49.1,44.3,35.3,31.6,70.3,5.3,R64
