TEAM,Record,YEAR,CONF,Rank,SEED,Games,Wins,Losses,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,POSTSEASON
Montana,24–7,2018,BSky,87,14,31,24,7,107.5,98.9,0.7227,51.7,48.3,17.4,21.2,34,26.4,38.9,41.3,51.9,46.1,34.1,35.3,69.1,-1.1,R64
UNC Greensboro,24–7,2018,SC,95,13,31,24,7,103.4,96.1,0.6974,52,47.6,19.8,21.6,33.7,23.8,26.4,39.1,50.9,47,35.6,32.3,66.1,-1.6,R64
Penn,23–8,2018,Ivy,112,16,31,23,8,102.9,97.4,0.6531,53,46.9,16.6,17.1,24.2,22.7,33.6,31.9,53.7,48.1,34.7,29.7,70.2,-3.3,R64
Stephen F. Austin,24–6,2018,Slnd,114,14,30,24,6,103.4,97.9,0.6519,53.4,49.7,20.8,26.1,32.7,28.6,40,50.5,52,47.1,37.4,35.9,72.1,-1.9,R64
Bucknell,25–9,2018,Pat,115,14,34,25,9,107.4,101.8,0.6495,54,47.6,17.1,17.1,27.2,27.4,42.4,34.4,55.6,46.5,34.3,33.2,73,-3,R64
College of Charleston,24–7,2018,CAA,145,13,31,24,7,106.6,104.9,0.5437,52.8,50.2,14.7,17.8,25.6,28,36.8,31.3,51.8,48.8,36.4,35.1,65.9,-2.1,R64
Lipscomb,20–9,2018,ASun,158,15,29,20,9,102.5,101.6,0.5229,51.9,51.7,20.1,19.8,28,24.1,41.2,38.7,53.5,52.6,33,33.5,75.9,-3.2,R64
Cal St. Fullerton,18–11,2018,BW,180,15,29,18,11,102.4,103.7,0.4653,52,48.3,20.6,18.4,26.5,28.9,46,34.8,52.2,45.2,34.3,36.3,70.8,-5.5,R64
Texas Southern,15–19,2018,SWAC,264,16,34,15,19,104.2,112.8,0.2868,50.8,51.5,17.2,16,28.5,32.2,43.2,31.4,48.7,49.5,36.3,37.1,72.5,-10.9,R64
Iowa St.,23–11,2019,B12,14,6,34,23,11,118.2,96.1,0.9148,54.9,48.5,16.2,18.8,28.5,30,30.3,23.6,55,47.1,36.5,33.8,69.1,4.3,R64
Cincinnati,28–6,2019,Amer,25,7,34,28,6,112.1,93.9,0.8847,49,48.1,16.1,20.9,37.6,29.4,38.1,30.5,47.3,44.7,35,35.1,64.9,5.9,R64
Belmont,25–5,2019,OVC,59,11,30,25,5,113.4,101.3,0.785,57.8,48.9,15.4,16.3,25.6,24.3,28.1,27.7,59.5,47.2,37.1,34.7,72.5,1.4,R64
Yale,21–7,2019,Ivy,83,14,28,21,7,110.1,102,0.7074,56.1,47.2,18.1,15.2,26.3,24.4,30.5,30.6,56.1,47.5,37.4,31.2,72.1,-0.7,R64
Saint Louis,23–12,2019,A10,110,13,35,23,12,101.1,95.4,0.6614,46.8,46.9,19,19.4,36.1,25.3,39.7,32.9,47.1,46.9,30.8,31.3,67.5,-3,R64
Old Dominion,26–8,2019,CUSA,118,14,34,26,8,100.4,95.5,0.6424,47.7,45.6,17.9,18.6,32.3,24.8,29.5,32.4,44.6,43.4,35.3,32.5,65.8,-1.6,R64
Abilene Christian,23–6,2019,Slnd,151,15,29,23,6,102.2,101,0.5352,52.4,49.6,17.4,23.4,27.7,27.8,34.5,38.4,49.8,49.2,38.3,33.5,67.1,-2.5,R64
Gardner Webb,20–11,2019,BSth,182,16,31,20,11,105.5,107.2,0.4529,54.8,50.2,16.8,18.1,22.6,31,39.2,27.7,53.8,49.9,37.7,33.8,68.5,-4.9,R64
North Dakota St.,16–15,2019,Sum,197,16,31,16,15,105.8,108.7,0.4214,53.8,53.6,15.8,14.6,20.7,25.4,32.1,26.2,52.4,52.9,36.8,36.6,66.5,-8.4,R64
Fairleigh Dickinson,18–13,2019,NEC,227,16,31,18,13,104.8,110.3,0.3577,54.5,51.5,19.4,20.4,29.4,33.1,35.5,30.2,51.2,51.6,40.4,34.3,68.1,-9.2,R64
Drake,26–4,2008,MVC,19,5,30,26,4,118,96.3,0.9126,52.8,49.8,18.1,24,36.6,32.9,34.3,23.7,50.9,49.2,36.6,33.8,64.2,5.2,R64
BYU,27–7,2008,MWC,34,8,34,27,7,104.9,89.3,0.8645,53.3,42.8,19.7,19.1,30.8,26.2,37.6,30.3,51.5,42.5,37.4,29,70.4,2.5,R64
Saint Mary's,24–6,2008,WCC,38,10,30,24,6,108.2,92.7,0.8555,52.7,44.7,18.9,20.9,36,31.3,39,30.6,52.1,44.1,35.8,31,68.2,1.2,R64
Baylor,20–10,2008,B12,39,11,30,20,10,114.6,98.2,0.8546,52.1,48,17.2,19.5,31.8,32.6,36.1,39.9,49.7,46.3,37.6,34.7,71.6,1.5,R64
Oregon,18–13,2008,P10,41,9,31,18,13,117.8,101.2,0.8517,56.3,50.2,18.6,16.4,32.3,31.2,36.9,33.3,53.9,50.1,40.1,33.6,67.9,0.8,R64
Kent St.,28–6,2008,MAC,60,9,34,28,6,106.8,94.2,0.8091,52.9,46.2,21.6,24.2,36,35.9,41.6,38.5,51.4,45.6,37.6,31.7,66.3,2.3,R64
South Alabama,24–6,2008,SB,67,10,30,24,6,110.5,98.2,0.7941,54,47.9,20.6,20.5,37.9,30.5,45.7,31.2,53.2,47.2,37,32.6,66.6,-0.3,R64
Kentucky,18–12,2008,SEC,71,11,30,18,12,105.7,94.5,0.7838,52.6,44.9,23.8,19.9,33,33.5,41.3,42,51.5,43,36.8,32.4,64.5,-1.1,R64
Oral Roberts,23–8,2008,Sum,77,13,31,23,8,102.3,92.4,0.7646,50.1,44.5,19.4,21,33.5,30.9,41.3,30,47.7,42.3,36.7,33.6,65.5,-0.9,R64
Winthrop,20–11,2008,BSth,95,13,31,20,11,98.1,90.8,0.7092,50,46.1,20,23.4,33.8,29,36.3,33.8,47.1,45.8,37.4,31,63.5,-4.2,R64
Cal St. Fullerton,23–8,2008,BW,102,14,31,23,8,109.2,102.2,0.681,54.5,52.9,18.3,23.6,33.1,29.6,32.6,32.5,52.7,51.2,38.5,37.5,74.1,-3.2,R64
Cornell,21–5,2008,Ivy,127,14,26,21,5,107.5,103.7,0.6026,56.1,48.6,20,20.6,28.9,30.9,34.2,35.2,53.3,45.7,40.9,36.2,69.8,-1.2,R64
Portland St.,21–9,2008,BSky,130,16,30,21,9,105.3,101.8,0.5949,54.7,50,20.7,21.5,34,31.3,38.2,35.3,51.2,49.4,39.9,34.2,68.2,-3.4,R64
UMBC,23–8,2008,AE,136,15,31,23,8,111.3,108.3,0.5781,52.2,50.6,13.4,17.5,32.1,33.5,33.8,28.4,49.3,48.7,38.8,36.1,66.1,-3,R64
Austin Peay,24–10,2008,OVC,169,15,34,24,10,102.5,103.5,0.4709,52.3,54.1,18.5,24.5,29.9,32.3,44.6,32.7,49,53,38.6,37.1,67.4,-5.3,R64
UT Arlington,17–11,2008,Slnd,179,16,28,17,11,99.1,101.2,0.4379,52.5,47.1,24.1,20.8,31.8,30.5,41.5,37.9,52.7,46.3,34.7,32.2,70.6,-7,R64
Mississippi Valley St.,15–15,2008,SWAC,310,16,30,15,15,90,105.3,0.1404,44.3,49.7,21.8,22.9,32.5,34.5,41.6,37.5,41.5,50.9,35.2,31.3,64.9,-10,R64
West Virginia,23–11,2009,BE,9,6,34,23,11,113.7,88.6,0.946,48.6,46.4,18.2,23.6,41,31.4,35.5,38.3,48.1,47.1,33.1,30,65.8,3.9,R64
BYU,24–7,2009,MWC,19,8,31,24,7,113.8,92.3,0.9177,55.1,45.4,16.5,20.1,28.6,25.7,35.4,36.3,54.2,45.6,38,30,70.1,2.3,R64
Wake Forest,24–6,2009,ACC,21,4,30,24,6,110.3,89.8,0.914,52.3,44.9,20.9,21.2,36.2,30.8,43.7,32.7,53.5,44.8,31.8,30.2,73.8,5.1,R64
Clemson,23–8,2009,ACC,22,7,31,23,8,115.8,94.7,0.9097,53.3,48.2,20.3,24.4,39.6,37.4,31.8,32.6,51.4,46.1,37.9,35.8,69.3,2.7,R64
Minnesota,21–10,2009,B10,40,10,31,21,10,106.3,90.8,0.8599,49.7,46.7,22.5,23.4,36.3,33.7,34.5,36.2,49.8,43.3,33,34.9,65.9,1.8,R64
Butler,25–5,2009,Horz,43,9,30,25,5,108.6,93.1,0.8534,51.7,44.3,20,20.8,32.3,29.6,43.3,33.8,50.7,42,35.3,32.3,63.8,2.4,R64
Florida St.,25–9,2009,ACC,45,5,34,25,9,104,89.4,0.8506,49.2,44.5,22.9,22.6,35,35.9,39.2,36.1,48.1,42,34.3,32.7,67.3,5,R64
Mississippi St.,22–12,2009,SEC,64,13,34,22,12,107.2,95,0.8003,50.3,44.7,19.8,18.9,31.2,35.5,41.3,29.4,47.8,42,36.1,33.9,68.7,-1.7,R64
North Dakota St.,24–6,2009,Sum,80,14,30,24,6,111.5,101,0.7578,54.3,49.7,16.9,18.9,32.9,27.6,37.8,29.6,51.8,48.3,40.2,35.7,69.2,-0.8,R64
Akron,22–12,2009,MAC,93,13,34,22,12,101,94,0.696,48.2,45.2,20.9,26.8,34.5,36.3,36.4,45,47.4,45.8,32.9,29.3,66,-5.4,R64
Stephen F. Austin,20–7,2009,Slnd,100,14,27,20,7,95.7,89.8,0.6736,48.4,42.6,18.2,21.6,26.5,28,29.8,39,48.7,42.5,31.9,28.6,63.4,-2.5,R64
Cornell,19–9,2009,Ivy,108,14,28,19,9,106.1,100.8,0.6427,54,46.3,19.7,20.4,32.3,30.4,32.9,34,50.5,46.3,40.7,30.8,67.2,-4.8,R64
Cal St. Northridge,16–13,2009,BW,109,15,29,16,13,100.7,95.9,0.6359,51.6,48.1,24.4,23.9,36.8,32.1,34.3,42.8,50.4,47.7,36,32.5,73,-6.7,R64
Portland St.,20–9,2009,BSky,119,13,29,20,9,106.8,102.7,0.6106,53.4,50.6,19.9,21.7,33.2,32.5,29.7,32.6,51,50.1,37.6,34.5,66.7,-3.9,R64
American,24–7,2009,Pat,127,14,31,24,7,102.7,99.4,0.5921,53.7,44.9,21.4,20.7,31.9,29.4,32.8,35.2,52.1,42.6,37.7,33,61.6,-2.3,R64
Robert Morris,24–10,2009,NEC,145,15,34,24,10,101,99.6,0.5388,53.7,48.7,22.8,23.9,32.9,32.1,37.3,39.7,51,45.5,39.7,36.7,67.2,-5.1,R64
Binghamton,22–8,2009,AE,175,15,30,22,8,100.6,101.9,0.4617,49,46.3,19.5,21.6,31.9,34.9,41.8,41.5,48.7,45.2,33.1,32.4,68.5,-4.5,R64
Radford,18–11,2009,BSth,181,16,29,18,11,99.4,101.1,0.4512,50.7,46.8,22.6,17,35.4,28.6,44,30.2,50.2,44.7,34.8,33.4,69.8,-6.6,R64
Clemson,21–10,2010,ACC,18,7,31,21,10,109.6,89.2,0.9143,51,46.1,21.2,25,36.2,33.6,35.3,34.9,51.2,46.8,33.6,29.4,69.5,1.5,R64
Temple,29–5,2010,A10,19,5,34,29,5,106.2,86.5,0.9132,48.9,42.4,16.8,18.1,32.5,27.6,27.7,26.6,48,42.5,33.8,28.1,61.6,5.3,R64
Minnesota,21–13,2010,B10,21,11,34,21,13,112.9,92.7,0.9059,53.7,46.7,19.1,21.6,33.4,32,34.3,32.9,50.5,44,40.4,34,67.4,-0.3,R64
Florida St.,22–9,2010,ACC,25,9,31,22,9,103.8,85.7,0.9013,50.9,43.2,24.7,23.7,38.6,32.6,38.8,33.9,51.1,39.9,33.6,32.8,67.2,2.8,R64
Vanderbilt,23–8,2010,SEC,36,4,31,23,8,113.4,94.9,0.8851,52.7,47,19.4,19.3,32.7,35,48,34.7,51.6,45.4,37,33.6,69.8,3.2,R64
Notre Dame,23–11,2010,BE,41,6,34,23,11,119.6,100.7,0.8784,54.1,49.4,15.9,16,34.5,30.5,39.1,27.9,51.5,47.7,39.4,35.1,64.9,0.5,R64
San Diego St.,23–8,2010,MWC,49,11,31,23,8,109.9,94.3,0.8524,52,46.9,21,20.7,40.2,31.8,41,31.5,53.6,43.4,32.3,35.8,64.4,1.3,R64
Richmond,26–8,2010,A10,52,7,34,26,8,106.5,91.7,0.8483,51,43.8,16.9,22.8,26.7,35.2,32.6,35.8,50,43.5,35.1,29.7,63.9,2.6,R64
Sam Houston St.,21–7,2010,Slnd,102,14,28,21,7,109.9,102.7,0.6866,54.3,50.3,18.9,21.1,34.4,30.4,39.5,41.7,52.1,50.2,38.5,33.6,70,-2.5,R64
Montana,20–9,2010,BSky,127,14,29,20,9,103.6,99.7,0.6108,54.5,47.7,19.1,19.8,30,29.7,37.3,38.6,52,44.6,39.8,36.5,63.2,-4.6,R64
UC Santa Barbara,19–9,2010,BW,140,15,28,19,9,99.2,96.4,0.5804,51.3,47.9,22.8,22.3,27.5,32.7,46.9,39.5,48.2,49.3,37.8,30.5,67.6,-4.1,R64
Vermont,25–9,2010,AE,156,16,34,25,9,101,99.4,0.5462,48.6,44.5,20.7,20.1,36.2,33.3,50.6,35,48.8,43.2,32.1,31.5,68.1,-5.1,R64
Morgan St.,27–9,2010,MEAC,170,15,36,27,9,103.9,103.8,0.5028,47.9,46.5,19.1,20.3,40.1,34.6,44.2,42.9,46.8,45.6,33.8,32.7,70,-3.9,R64
North Texas,22–8,2010,SB,189,15,30,22,8,101.4,103.1,0.4526,50.9,47.5,21.1,18.3,32.2,29.9,52.8,32.7,51.5,47,33.1,32.7,68.7,-3.9,R64
Robert Morris,23–11,2010,NEC,199,15,34,23,11,98.7,101.5,0.4191,49,47,21.7,23.2,34.5,32.5,45.9,46.9,46.7,46.2,36.5,32.3,67.4,-6.5,R64
Arkansas Pine Bluff,16–15,2010,SWAC,250,16,31,16,15,91.1,98.5,0.2899,45,46,24.5,20.6,35.8,26.6,48.6,55.3,45,44.4,30.2,33.1,67.3,-8,R64
Louisville,25–9,2011,BE,12,4,34,25,9,111.5,89.4,0.9268,52.5,44.5,18.9,23.2,35.2,35,29.8,40,51.5,43.8,36.1,30.6,68,4.7,R64
Georgetown,21–10,2011,BE,25,6,31,21,10,113.8,95,0.8889,54.4,46.6,20.6,17.7,33.6,32.5,33.6,36.6,54.6,45.4,36,33,65.1,4.4,R64
Belmont,30–4,2011,ASun,31,13,34,30,4,110.6,93.1,0.8787,54.4,45.6,19.9,27.4,37.9,32.2,38,45.8,52.4,44.1,38.1,32.7,69.4,1,R64
Xavier,24–7,2011,A10,46,6,31,24,7,111.1,96.1,0.8426,51.5,46.2,18,18.8,32.4,27.9,44.9,34.8,52.1,43.8,33.3,33.8,66,2.4,R64
Texas A&M,23–8,2011,B12,57,7,31,23,8,107.9,94.6,0.8207,49.6,46.5,20.3,20.7,37.9,29.7,47.6,36.7,49.1,45.9,33.7,31.8,62.9,2.4,R64
Princeton,24–6,2011,Ivy,86,13,30,24,6,105.4,97.4,0.7121,52.1,46.8,18.9,18.4,31.2,27,37.4,35.7,50.3,45.8,37.3,33,64.2,-0.3,R64
Memphis,25–9,2011,CUSA,93,12,34,25,9,103.5,96.2,0.6976,50.3,46.7,21.9,21.3,35.4,35.3,39.5,38.5,51,45.3,32.7,33.2,69.1,0,R64
Northern Colorado,19–10,2011,BSky,123,15,29,19,10,104.6,101,0.6,50.2,48.8,21.8,20.5,35.8,28.6,44.4,44.6,45.4,46.1,38.4,35,67.7,-4.6,R64
UC Santa Barbara,16–13,2011,BW,131,15,29,16,13,102.1,99.1,0.5842,51.9,46.8,21.7,20.1,28.4,31.9,37.2,42.6,49.8,42.3,37,36.6,65.7,-6.8,R64
Akron,22–12,2011,MAC,134,15,34,22,12,101.2,98.5,0.5792,49.9,46.5,17.7,20.5,28.5,33,31.9,38.2,47.3,46,36,31.8,67.1,-5.6,R64
UNC Asheville,16–13,2011,BSth,173,16,29,16,13,98.2,99,0.478,49.2,47.7,21.4,24.3,32.1,35.8,41.8,39.6,49.1,46.1,32.9,34,69.5,-8.1,R64
Boston University,21–13,2011,AE,187,16,34,21,13,101.5,103.4,0.4468,47.4,45.6,19,17.9,34.6,34.2,37.7,30.6,43.5,44.1,35.5,32.1,63.9,-7.6,R64
UTSA,16–13,2011,Slnd,208,16,29,16,13,101,104.8,0.3953,49.4,48.8,19.6,19.9,29.9,33.4,41.6,37.8,46.6,47.9,36.3,33.6,68.1,-9.2,R64
Hampton,23–8,2011,MEAC,219,16,31,23,8,92.7,97.3,0.3662,46.2,42.5,17.8,23.1,29.5,36,42.2,36.7,45.1,40.5,32.1,31.2,67.2,-5.6,R64
Missouri,30–4,2012,B12,6,2,34,30,4,124.1,96.3,0.9485,57.8,49.7,15.4,21.6,30.6,31.9,37.7,27.2,56.9,47.6,39.5,36.2,66.7,8.8,R64
Wichita St.,26–5,2012,MVC,9,5,31,26,5,115.8,92.4,0.9303,54.2,44.7,17.9,18.7,33.5,26.3,35.2,33.4,53.5,43.5,37,31.4,66.7,4.4,R64
Memphis,26–8,2012,CUSA,17,8,34,26,8,112.6,91.9,0.9119,54.4,43.3,18.7,20.5,31.4,32.9,41.6,38.3,54,41.8,36.9,31,68.3,3,R64
Virginia,22–9,2012,ACC,25,10,31,22,9,104.3,87.3,0.8854,50.9,44.3,18.6,21.1,27.9,25.4,35.8,31.1,51.1,44.3,33.7,29.5,60.4,2,R64
Temple,23–7,2012,A10,29,5,30,23,7,113,95.9,0.8687,53.2,48.6,17.9,19.4,31.3,31.4,34.3,33.4,50.3,47.8,39.9,33.7,67.2,4.2,R64
Harvard,25–4,2012,Ivy,39,12,29,25,4,106.8,92.5,0.8394,52.5,44.9,20.5,19.8,30.9,26.7,42.7,29.1,52.2,42.9,35.5,33.6,61.2,2.2,R64
Saint Mary's,25–5,2012,WCC,42,7,30,25,5,111.9,97.6,0.8278,53.6,48.4,18.1,18.5,36,26.3,39.6,29,54.7,45.9,34.4,36.8,64.5,2.8,R64
BYU,23–8,2012,WCC,45,14,31,23,8,105.3,92.3,0.8192,52.3,47.5,17.8,21.5,30.4,26.6,36.7,35,52.3,47.6,34.8,31.5,72.7,0.3,R64
St. Bonaventure,20–11,2012,A10,47,14,31,20,11,108.7,95.8,0.8107,51,46.9,21.5,19,36.3,29.6,42.8,37.6,50.9,46.1,34.1,32.4,64.5,-1.1,R64
Long Beach St.,23–8,2012,BW,50,12,31,23,8,108,95.6,0.804,52.6,47.4,19,21.7,34.2,31.6,43.4,27.3,52,45.7,35.8,34.2,67.2,0.9,R64
Davidson,24–7,2012,SC,63,13,31,24,7,110.8,99,0.785,51.3,47.4,17.2,17.6,35.1,26.7,36.7,40.8,51.5,46,34,34,68.4,-0.4,R64
Southern Miss,23–8,2012,CUSA,64,9,31,23,8,110.2,98.5,0.7844,46.3,50.4,16.4,21.3,36.6,28.5,40.2,39.6,43.3,48.8,35.5,36.1,64.7,1.2,R64
San Diego St.,24–7,2012,MWC,67,6,31,24,7,104.9,94.1,0.7765,50.3,46.6,18.9,18.7,31.3,27.2,36.2,28.5,50.2,44.4,33.7,33.7,66.6,2.9,R64
Colorado St.,20–11,2012,MWC,86,11,31,20,11,111.8,102.6,0.7273,53.5,50.5,19.1,18.5,28.4,29.5,43,39.2,50.4,48.7,40.5,35.7,64.7,-1,R64
Montana,23–6,2012,BSky,102,13,29,23,6,100.6,94.5,0.6715,52.9,44.9,18.6,22.2,27.8,31.4,39.8,39,50.8,43.3,38.3,32.4,65.7,-1.7,R64
UNC Asheville,21–9,2012,BSth,142,16,30,21,9,107,104.3,0.5718,52.7,51.4,19.1,22.4,32.9,35,48.5,36.1,52.9,50.4,34.8,35.4,69.6,-3.3,R64
Vermont,23–11,2012,AE,151,16,34,23,11,101.8,99.8,0.5547,49.4,45.8,19.4,20,34.2,29.9,37.9,33.1,48.4,44.9,34.6,31.9,63.4,-5.5,R64
Ohio St.,21–9,2021,B10,10,2,30,21,9,121.4,97.1,0.9287,53.1,48.9,15.3,15,29.1,27.4,37.6,33.8,52.1,47.4,36.5,34.1,67.8,6,R64
San Diego St.,22–4,2021,MWC,12,6,26,22,4,111.3,89.2,0.9266,52.7,46.7,16.9,22.5,29.9,24.4,34.3,32.7,50.5,44.6,37.5,32.8,66.9,3.1,R64
Connecticut,15–7,2021,BE,14,7,22,15,7,113.9,92.3,0.9187,49.5,46.2,17.5,19.6,36.8,29.8,29.6,36.9,49,45.6,33.6,31.6,66.6,2,R64
Tennessee,18–8,2021,SEC,16,5,26,18,8,108.5,88.2,0.9149,50.1,45.9,18.2,22.9,31.4,28.6,35.1,31.1,49.8,44.8,33.8,31.8,67.8,2.3,R64
Texas,19–7,2021,B12,17,3,26,19,7,113.6,92.8,0.9111,52.9,46.7,20.2,17.8,31.3,26.9,34,36.7,52.4,45.8,35.7,32.3,70,4.2,R64
Virginia,18–6,2021,ACC,18,4,24,18,6,114.9,93.9,0.9102,56.1,47.9,15.4,15.2,23.1,22.6,22,24.6,55.3,46.1,38.1,34,60.9,3.5,R64
BYU,19–6,2021,WCC,26,6,25,19,6,111.5,92.6,0.8941,55,46.6,19,16,28.6,23.3,27.8,29.4,54.5,45.5,37.3,32.4,69.1,3.6,R64
Purdue,18–9,2021,B10,27,4,27,18,9,111.5,93,0.89,51.4,48.6,18.7,16.9,32.2,24.1,32.2,30.3,52.1,49.7,33.5,31.5,67.5,3.7,R64
St. Bonaventure,16–4,2021,A10,28,9,20,16,4,110.1,91.8,0.8898,50.5,45.5,16.9,19.5,33.6,28.4,27.8,28.3,49.3,45.1,35.4,30.6,65.5,1.9,R64
Georgia Tech,17–8,2021,ACC,35,9,25,17,8,112.7,95.6,0.8691,53.9,52.2,15.9,22.8,24.8,29.9,29,28.9,54.8,50.7,34.9,36.7,68.6,1.8,R64
Missouri,16–9,2021,SEC,36,9,25,16,9,110.7,94.3,0.8638,50.9,48.5,18.9,18.4,28.6,29.2,37.5,36.4,52.6,48.3,32,32.7,69.5,2.1,R64
North Carolina,18–10,2021,ACC,37,8,28,18,10,107.9,91.9,0.8633,48.5,48.7,20.6,19.3,41.3,26.3,34.9,27.1,48.9,46.8,31.7,34.4,72.8,2.4,R64
Utah St.,19–8,2021,MWC,40,11,27,19,8,104.4,89,0.8614,49.8,45.6,19.7,19.7,35.3,21.3,29.4,26.1,49.6,42.9,33.6,33,69.9,-1.1,R64
VCU,19–7,2021,A10,43,10,26,19,7,104.2,89.6,0.8508,50.9,45.8,20.7,23.6,28.5,31.4,34,35.4,51.7,45.9,32.9,30.5,70.9,1,R64
Clemson,16–7,2021,ACC,44,7,23,16,7,105.1,90.5,0.8483,50.4,48.8,19.5,21.6,26.6,26.5,23.6,29.6,49.2,47.4,34.6,33.8,65.4,2.9,R64
Virginia Tech,15–6,2021,ACC,52,10,21,15,6,108.8,94.5,0.8342,52.5,48.4,17.3,17.6,28.4,24.3,33.2,30.9,51.7,47.6,35.7,33,67.4,0.9,R64
Colgate,14–1,2021,Pat,55,14,15,14,1,112.5,98,0.8291,57,45.6,13.7,16.6,28.2,25.4,31,25,55.4,49.4,40,26.1,72.8,0.4,R64
Georgetown,13–12,2021,BE,56,12,25,13,12,107.2,93.7,0.8242,49.6,48,21.7,16.2,32.4,27.3,30.3,25.9,46.1,47.4,36.6,32.6,70.6,-1.1,R64
UC Santa Barbara,20–4,2021,BW,66,12,24,20,4,108.1,96.2,0.7921,53,47.7,16.5,20.8,28.2,24.5,35.5,28,53.4,46.6,34.8,33.4,66.6,0.1,R64
Drake,23–4,2021,MVC,68,11,27,23,4,112.2,100.2,0.7854,54.5,48.4,15.2,18.8,31.6,24.9,25.2,29.7,54.4,49.7,36.6,30.8,67.6,1.8,R64
Winthrop,23–1,2021,BSth,87,12,24,23,1,104.8,96.1,0.732,53,49,19.5,22.5,35.6,22.2,35.7,33.8,53,49.2,35.3,32.4,74.7,1,R64
Grand Canyon,14–6,2021,WAC,91,15,20,14,6,103.6,95.5,0.7178,52.8,44.7,20.4,16.5,33,22.8,34.5,29.4,55.4,44.8,32.2,29.7,66.2,-2.9,R64
Eastern Washington,15–7,2021,BSky,93,14,22,15,7,108,99.6,0.7153,54.1,47.5,16.5,16.5,23.9,25.6,30.4,27.7,54.2,47.6,35.9,31.6,73.1,-3.1,R64
Liberty,19–5,2021,ASun,94,13,24,19,5,109.1,100.8,0.7133,57.4,48,15.6,17.3,23.1,22.4,25.5,29.6,56.8,47.8,38.8,32.2,64.4,-1.7,R64
UNC Greensboro,21–8,2021,SC,118,13,29,21,8,101.6,97.4,0.6201,48.2,48.1,15.6,21,32.4,25.9,23.8,36.4,50.3,48.3,30,31.9,69.2,-3.4,R64
Drexel,12–7,2021,CAA,131,16,19,12,7,106.1,103.7,0.5671,54.3,49.6,19.6,16.4,29.4,24.3,28.5,27.2,53.5,50.4,37.2,32.1,65.3,-4.5,R64
Morehead St.,21–7,2021,OVC,139,14,28,21,7,98.1,96.1,0.5593,51.9,47,22.9,18,31.3,24.9,36.8,23.1,51.8,47.6,34.7,30.7,66.5,-1.9,R64
Iona,12–5,2021,MAAC,142,15,17,12,5,100.7,98.8,0.5568,51.2,45.6,22.5,19.6,33.5,26.2,36.1,46.3,49.9,45.8,35.5,30.1,69.3,-3.2,R64
Cleveland St.,19–7,2021,Horz,175,15,26,19,7,99.2,99.6,0.4864,50.6,48.9,18.5,20.3,30.9,31.9,31.9,37.2,52.1,50.9,31.9,30.8,67.1,-2.7,R64
Hartford,15–8,2021,AE,190,16,23,15,8,96.7,99.2,0.4274,50.4,47.6,19,20.4,24.9,28.8,28.6,25,51.3,50.7,32.7,28.7,67.8,-4.9,R64
Norfolk St.,14–7,2021,MEAC,211,16,21,14,7,99,103.9,0.3645,49.7,47.4,17.8,20.7,28.8,28.7,38.6,42,46.1,47.2,37.4,31.7,68.7,-5,R64
Texas Southern,15–8,2021,SWAC,216,16,23,15,8,97.9,103.2,0.3542,48.3,46.5,21.5,19.4,32.9,26.4,38.9,33.8,51,45.2,27.7,32.4,72.5,-4.4,R64
Gonzaga,30–2,2013,WCC,4,1,32,30,2,119.3,90,0.9625,55.5,44.2,17.1,20.9,37.4,30.2,41,29.5,55.9,42.1,36.4,31.8,65.2,7.6,R32
Creighton,27–7,2013,MVC,14,7,34,27,7,117.9,95.2,0.9211,59.1,45.9,18.8,16.2,29.2,27,33.6,25.8,56.4,45.4,42.1,31.3,65.4,3.5,R32
VCU,26–8,2013,A10,16,5,34,26,8,113.2,91.7,0.9188,51.3,50,17.1,28.6,37,34.7,30.6,41,50.4,49.7,35.2,33.6,68.3,2.6,R32
Minnesota,20–12,2013,B10,17,11,32,20,12,112.8,91.6,0.9164,49.1,45.4,21.7,20.1,44.1,32.9,41.9,35.3,49.1,42.6,32.6,33.9,64,2.1,R32
Saint Louis,27–6,2013,A10,20,4,33,27,6,107.8,88.3,0.9078,50.7,45.6,17.6,23.4,28.1,28.3,44.7,35.6,50,44.3,34.7,32.8,64.7,3.8,R32
San Diego St.,20–10,2013,MWC,25,7,30,20,10,105.5,88.4,0.8842,48.5,44.1,17.9,18.3,31.5,28,36,29.7,48.4,42.4,32.4,31.9,67,0.4,R32
Colorado St.,23–8,2013,MWC,31,8,31,23,8,115.4,97.1,0.8795,48.9,48.2,16.7,16.9,41.8,23.3,43.3,36.6,48.4,46.6,33.4,33.9,64.8,1.9,R32
North Carolina,23–10,2013,ACC,32,8,33,23,10,110.7,93.1,0.8794,49.5,48,17.1,21.2,35.1,30.9,28,26.7,46.9,45.9,37,34.9,71.4,2.5,R32
Memphis,30–4,2013,CUSA,34,6,34,30,4,107,90.6,0.8711,53.2,45.6,20.8,22,36.2,30.6,37.9,35,51.8,43.5,37.9,33.5,69.5,4.5,R32
Illinois,20–12,2013,B10,37,7,32,20,12,110.2,93.6,0.8672,47.9,49,17.6,21.9,33.4,33.2,31.2,36.6,47.6,47.8,32.1,34.2,66.4,2.4,R32
