,Team,Seed,Outcome,Year,RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,ADJ T.,WAB,YEAR
25,TCU,   6 seed,NA,2023.0,26,TCU,B12,33,21-12,112.3,94.6,0.8769,50.2,47.8,17.1,21.9,32.4,30.7,33.9,29.7,51.9,49.1,30.6,30.4,69.8,2.6,2023
26,Kentucky,   6 seed,NA,2023.0,27,Kentucky,SEC,32,21-11,116.8,99.3,0.8664,51.2,48.8,17.3,16.8,38.7,25.5,32.5,29.9,50.4,48.3,35.4,33.1,66,1.9,2023
27,Maryland,   8 seed,NA,2023.0,28,Maryland,B10,33,21-12,113.2,96.5,0.8623,51.1,47.9,16.2,18.4,30.2,27.2,33.8,27.8,52,47.7,33,32.1,64.7,0.8,2023
28,Michigan St.,   7 seed,NA,2023.0,29,Michigan St.,B10,31,19-12,113,96.5,0.8599,51.6,48.1,16.4,14.7,27.4,25.2,25.8,28.6,47.7,48.6,39.5,31.5,64.9,2.4,2023
29,Florida Atlantic,   9 seed,NA,2023.0,30,Florida Atlantic,CUSA,32,31-3,112.8,96.5,0.8581,55,45.9,16.7,18.3,30.4,24.5,29.5,26.7,54.3,44.8,37.2,32,68.2,4.3,2023
30,Boise St.,   10 seed,NA,2023.0,31,Boise St.,MWC,32,24-9,110.3,94.4,0.8575,51.9,47.3,16.7,17.7,26.4,23.8,30.7,27.4,50.7,47.8,36,31,66.5,2.9,2023
31,Virginia,   4 seed,NA,2023.0,32,Virginia,ACC,32,25-7,110.6,94.7,0.8566,51.3,48.3,13.7,19.7,25.5,25,34.5,26.1,50.4,46.5,35.3,34,61.4,4,2023
32,Indiana,   4 seed,NA,2023.0,33,Indiana,B10,33,22-11,113.6,97.4,0.8541,53.8,47.3,16.9,16.3,28,27.9,30.1,30.6,53.2,45.7,37,33.2,68.1,3.3,2023
33,Northwestern,   7 seed,NA,2023.0,35,Northwestern,B10,32,21-11,108.7,93.6,0.8478,47.2,48.4,14.8,21.7,28.3,27.3,29.7,31.6,46.5,46.6,32.1,33.9,65,1.5,2023
34,Miami FL,   5 seed,NA,2023.0,37,Miami FL,ACC,32,25-7,118.4,102.7,0.8364,55,51.3,16.4,18.1,32,29,30,24.1,54.9,51.8,36.8,33.6,68.8,3.4,2023
35,Iowa,   8 seed,NA,2023.0,38,Iowa,B10,32,19-13,120.6,104.7,0.8364,51.9,53.3,14.1,18.5,32.2,27.6,32.6,23.4,52.1,52.6,34.3,36.6,69.6,0.2,2023
36,USC,   10 seed,NA,2023.0,41,USC,P12,32,22-10,112.6,98.1,0.831,51.3,45.2,18.1,18.1,29,33,33.8,29.8,51.1,42.4,34.5,33.4,68.2,2,2023
37,Penn St.,   10 seed,NA,2023.0,42,Penn St.,B10,35,22-13,116.9,101.9,0.8295,55.5,49.2,13.7,13.1,18.8,25.1,21.4,25.9,53.5,48.8,38.5,33.3,64.6,1.3,2023
38,Illinois,   9 seed,NA,2023.0,45,Illinois,B10,32,20-12,110.1,96.2,0.8243,51.6,46.9,18.2,18.6,32.3,26.8,33.8,29.6,55.3,45.3,30.9,33.6,69.7,0.6,2023
39,Drake,   12 seed,NA,2023.0,46,Drake,MVC,33,27-7,110.7,96.8,0.8242,53.1,47.3,15.5,17.7,24.3,22.4,28.8,26.7,51.9,47.5,36.7,31.2,66.4,-0.2,2023
40,North Carolina St.,   11 seed,NA,2023.0,49,North Carolina St.,ACC,33,23-10,114.1,100.1,0.8187,51.8,49.8,13.6,19.1,30.7,26.6,25.3,34,51.5,50.6,34.9,32.2,69.4,0.9,2023
